item tipo pais tiempo marco autor
E0 acuarela espana moderno si E
E1 acuarela brasil clasico no B
E2 oleo espana antiguo no D
E3 acuarela espana antiguo no C
E4 oleo argentina clasico si C
E5 acuarela argentina clasico no F
E6 pincel brasil antiguo no E
E7 oleo peru moderno no B
E8 acuarela brasil clasico no D
E9 pincel espana clasico no F
E10 oleo portugal antiguo si B
E11 brocha peru moderno si A
E12 brocha peru antiguo no A
E13 oleo francia antiguo no E
E14 acuarela espana antiguo no A
E15 oleo portugal antiguo si F
E16 pincel brasil clasico no A
E17 grabado espana antiguo si B
E18 pincel peru antiguo no A
E19 brocha portugal clasico si B
E20 oleo brasil moderno no B
E21 acuarela peru clasico no A
E22 acuarela argentina clasico si B
E23 pincel brasil clasico si E
E24 brocha brasil clasico no F
E25 acuarela portugal clasico si B
E26 grabado espana moderno no E
E27 grabado peru clasico si D
E28 grabado francia antiguo no E
E29 oleo francia antiguo si F
E30 grabado espana antiguo no D
E31 oleo argentina moderno si B
E32 oleo espana clasico no A
E33 pincel brasil antiguo si C
E34 pincel peru antiguo no E
E35 acuarela brasil clasico no F
E36 acuarela portugal moderno si C
E37 grabado argentina moderno si C
E38 grabado brasil moderno si A
E39 oleo espana antiguo si C
E40 acuarela espana antiguo si D
E41 pincel brasil moderno no E
E42 acuarela peru antiguo no C
E43 grabado brasil moderno no A
E44 pincel espana moderno no D
E45 pincel espana moderno no F
E46 acuarela brasil antiguo no D
E47 brocha brasil clasico si E
E48 acuarela peru antiguo no F
E49 acuarela francia moderno si C
E50 grabado peru moderno no A
E51 grabado peru moderno no D
E52 grabado espana moderno no D
E53 pincel espana antiguo si B
E54 oleo argentina moderno no B
E55 grabado portugal clasico no D
E56 acuarela brasil moderno si E
E57 grabado brasil moderno si A
E58 brocha francia moderno si F
E59 grabado espana clasico no D
E60 grabado peru clasico no A
E61 brocha francia antiguo si B
E62 brocha espana antiguo no B
E63 acuarela francia moderno no A
E64 grabado francia clasico si B
E65 pincel peru antiguo no B
E66 acuarela portugal clasico si A
E67 oleo espana antiguo si F
E68 pincel argentina moderno si A
E69 oleo peru moderno no D
E70 oleo portugal moderno si D
E71 grabado francia clasico no B
E72 oleo brasil antiguo no E
E73 acuarela peru antiguo si F
E74 pincel argentina moderno si F
E75 pincel espana moderno si D
E76 pincel portugal moderno no D
E77 oleo portugal moderno no D
E78 acuarela argentina moderno no D
E79 oleo espana clasico no E
E80 brocha espana clasico si F
E81 pincel argentina clasico no A
E82 grabado francia moderno no C
E83 oleo peru moderno no D
E84 acuarela argentina moderno no C
E85 oleo portugal moderno no D
E86 pincel francia clasico si A
E87 grabado francia antiguo si A
E88 pincel portugal antiguo si E
E89 pincel francia moderno si E
E90 brocha francia clasico si C
E91 oleo portugal moderno si F
E92 acuarela portugal moderno si A
E93 grabado espana moderno no C
E94 grabado argentina clasico si C
E95 pincel portugal clasico si E
E96 brocha espana moderno no B
E97 brocha peru clasico no F
E98 grabado portugal antiguo no B
E99 pincel argentina antiguo no B
E100 brocha brasil moderno no D
E101 brocha espana antiguo si E
E102 grabado argentina clasico si B
E103 grabado portugal clasico no B
E104 acuarela argentina clasico si A
E105 acuarela espana moderno si A
E106 brocha peru moderno si C
E107 acuarela francia clasico si B
E108 grabado francia clasico si A
E109 brocha argentina clasico si D
E110 grabado espana antiguo no C
E111 brocha argentina moderno no A
E112 brocha francia moderno si F
E113 grabado argentina antiguo no F
E114 grabado brasil antiguo no B
E115 oleo argentina antiguo no E
E116 pincel portugal antiguo si D
E117 brocha brasil antiguo no D
E118 brocha argentina antiguo si E
E119 pincel argentina clasico si B
E120 oleo peru moderno no A
E121 acuarela portugal antiguo si A
E122 brocha francia antiguo si C
E123 brocha portugal clasico no D
E124 acuarela francia antiguo no E
E125 grabado argentina clasico no B
E126 pincel espana clasico no B
E127 grabado portugal clasico si E
E128 pincel portugal clasico si E
E129 brocha portugal antiguo si C
E130 oleo portugal moderno no B
E131 acuarela francia clasico si D
E132 acuarela peru moderno no B
E133 oleo portugal moderno no B
E134 brocha brasil clasico si C
E135 grabado peru antiguo no A
E136 oleo francia moderno si E
E137 grabado brasil moderno si F
E138 pincel portugal antiguo no F
E139 acuarela peru antiguo si A
E140 brocha portugal antiguo no C
E141 brocha espana clasico no E
E142 grabado argentina clasico no C
E143 oleo brasil moderno no B
E144 pincel francia antiguo no F
E145 grabado portugal antiguo si E
E146 brocha argentina clasico no A
E147 pincel peru moderno si E
E148 pincel brasil antiguo si A
E149 acuarela portugal antiguo no D
E150 oleo argentina moderno no D
E151 acuarela brasil clasico si B
E152 brocha peru clasico no B
E153 grabado brasil moderno no A
E154 pincel francia antiguo no C
E155 oleo peru moderno no F
E156 pincel francia antiguo si A
E157 oleo francia clasico no E
E158 oleo peru moderno si A
E159 brocha portugal moderno no F
